"word","freq"
"fair",274
"fucking",274
"rules",274
"cake",273
"earth",273
"o",273
"sat",273
"touch",273
"lake",272
"tough",272
"bus",271
"currently",271
"draft",271
"technology",271
"certainly",270
"k",270
"m",270
"reach",270
"sort",270
"attorney",269
"imagine",269
"products",269
"putting",269
"till",269
"fear",268
"keeping",268
"worst",268
"de",267
"latest",267
"travel",267
"common",266
"holiday",266
"none",266
"oregon",266
"showed",266
"via",266
"ahead",265
"areas",265
"article",265
"calls",265
"immediately",265
"nd",265
"watched",265
"wearing",265
"apparently",264
"caught",264
"characters",264
"dress",264
"opened",264
"smith",264
"tea",264
"worse",264
"calling",263
"forever",263
"healthy",263
"hello",263
"marriage",263
"meant",263
"programs",263
"supposed",263
"various",263
"walked",263
"fit",262
"peace",262
"results",262
"except",261
"official",261
"posted",261
"realize",261
"texas",261
"cancer",260
"included",260
"records",260
"residents",260
"slow",260
"value",260
"warm",260
"bitch",259
"drop",259
"officer",259
"places",259
"sex",258
"winter",258
"computer",257
"breakfast",256
"bro",256
"taste",256
"telling",256
"todays",256
"traffic",256
"union",256
"leaders",255
"lucky",255
"mention",255
"quarter",255
"signed",255
"smile",255
"term",254
"closed",253
"ð",253
"hopefully",253
"popular",253
"snow",253
"yall",253
"americans",252
"tree",252
"includes",251
"prices",251
"french",250
"george",250
"plays",250
"winner",250
"kill",249
"lower",249
"surprise",249
"tom",249
"vs",249
"nature",248
"throw",248
"unless",248
"benefits",247
"easily",247
"helping",247
"romney",247
"served",247
"stupid",247
"los",246
"policy",246
"positive",246
"product",246
"stopped",246
"ah",245
"downtown",245
"items",245
"justice",245
"addition",244
"crowd",244
"drug",244
"mayor",244
"shoes",244
"train",244
"cars",243
"clearly",243
"dear",243
"difference",243
"foot",243
"baseball",242
"bottom",242
"considered",242
"effort",242
"fat",242
"liked",241
"loving",241
"ability",240
"appreciate",240
"award",240
"charges",240
"collection",240
"lines",240
"loves",240
"mostly",240
"normal",240
"search",240
"agreed",239
"brain",239
"cook",239
"dreams",239
"google",239
"info",239
"museum",239
"onto",239
"parts",239
"raise",239
"raised",239
"lack",238
"older",238
"particular",238
"arrived",237
"mad",237
"pulled",237
"toward",237
"adding",236
"king",236
"names",236
"trade",236
"evidence",235
"exciting",235
"florida",235
"legal",235
"association",234
"cases",234
"fourth",234
"notice",234
"officers",234
"picked",234
"rich",234
"risk",234
"basketball",233
"cash",233
"built",232
"leader",232
"letter",232
"previous",232
"respect",232
"score",232
"butter",231
"everybody",231
"grand",231
"image",231
"joe",231
"comments",230
"creative",230
"eventually",230
"nation",230
"response",230
"science",230
"author",229
"folks",229
"neighborhood",229
"particularly",229
"production",229
"successful",229
"thomas",229
"dc",228
"impact",228
"insurance",228
"pop",228
"session",228
"access",227
"anymore",227
"pieces",227
"patients",226
"pressure",226
"receive",226
"size",226
"speaking",226
"square",226
"ten",226
"effect",225
"election",225
"january",225
"language",225
"reasons",225
"shopping",225
"brand",224
"culture",224
"filled",224
"lived",224
"nights",224
"planned",224
"valley",224
"address",223
"fish",223
"marketing",223
"match",223
"required",223
"secret",223
"stock",223
"broke",222
"homes",222
"reality",222
"section",222
"skin",222
"detroit",221
"q",221
"realized",221
"serve",221
"wed",221
"app",220
"charge",220
"paying",220
"roll",220
"scored",220
"boston",219
"count",219
"growth",219
"numbers",219
"range",219
"shoot",219
"terms",219
"voters",219
"weird",219
"approach",218
"decide",218
"faith",218
"reports",218
"spirit",218
"wild",218
"attack",217
"base",217
"lmao",217
"owner",217
"steve",217
"content",216
"easier",216
"english",216
"gold",216
"jones",216
"management",216
"nine",216
"recipe",216
"sea",216
"shots",216
"avoid",215
"creating",215
"hill",215
"robert",215
"smart",215
"hasnt",214
"leading",214
"moments",214
"rd",214
"bay",213
"charged",213
"conversation",213
"dogs",213
"doubt",213
"festival",213
"gay",213
"sauce",213
"jim",212
"williams",212
"angeles",211
"nfl",211
"overall",211
"plenty",211
"seconds",211
"spread",211
"window",211
"construction",210
"individual",210
"location",210
"talked",210
"trouble",210
"twice",210
"arizona",209
"broken",209
"classes",209
"holding",209
"losing",209
"miami",209
"parking",209
"remain",209
"willing",209
"apple",208
"benefit",208
"bet",208
"competition",208
"holy",208
"limited",208
"screen",208
"senate",208
"yo",208
"businesses",207
"countries",207
"e",207
"flight",207
"indeed",207
"investigation",207
"shooting",207
"spokesman",207
"stars",207
"worry",207
"beauty",206
"closer",206
"commercial",206
"dollars",206
"drinking",206
"headed",206
"london",206
"provided",206
"leaves",205
"november",205
"tells",205
"artists",204
"battle",204
"direction",204
"offered",204
"offers",204
"powerful",204
"seat",204
"self",204
"source",204
"stores",204
"turns",204
"wedding",204
"austin",203
"bigger",203
"bout",203
"delicious",203
"justin",203
"married",203
"network",203
"pizza",203
"opinion",202
"sharing",202
"shut",202
"somewhere",202
"turning",202
"clothes",201
"corner",201
"excellent",201
"hits",201
"novel",201
"additional",200
"audience",200
"avenue",200
"contract",200
"goals",200
"helps",200
"joy",200
"knowledge",200
"notes",200
"peter",200
"salt",200
"alive",199
"efforts",199
"bread",198
"concert",198
"december",198
"johnson",198
"ladies",198
"organization",198
"plant",198
"professional",198
"showing",198
"skills",198
"soul",198
"taxes",198
"wide",198
"rates",197
"standing",197
"thinks",197
"trial",197
"web",197
"baltimore",196
"fully",196
"model",196
"victory",196
"yellow",196
"artist",195
"august",195
"doctor",195
"february",195
"magic",195
"pair",195
"studio",195
"advice",194
"christian",194
"cooking",194
"enjoying",194
"firm",194
"j",194
"modern",194
"quiet",194
"thousands",194
"weight",194
"carry",193
"greatest",193
"guard",193
"likes",193
"push",193
"ryan",193
"arts",192
"necessary",192
"pull",192
"traditional",192
"whom",192
"cuts",191
"flowers",191
"mission",191
"shall",191
"surprised",191
"wake",191
"christ",190
"commission",190
"cross",190
"forced",190
"inspired",190
"labor",190
"shouldnt",190
"significant",190
"stick",190
"theyve",190
"youd",190
"banks",189
"classic",189
"designed",189
"fashion",189
"fill",189
"freedom",189
"honor",189
"slightly",189
"brings",188
"code",188
"failed",188
"fellow",188
"noticed",188
"progress",188
"purchase",188
"specific",188
"tip",188
"towards",188
"writer",188
"yea",188
"francisco",187
"hahaha",187
"island",187
"pink",187
"begins",186
"buying",186
"cry",186
"degree",186
"fantastic",186
"happening",186
"nba",186
"nobody",186
"nyc",186
"subject",186
"century",185
"crime",185
"digital",185
"foundation",185
"income",185
"keeps",185
"largest",185
"memory",185
"returned",185
"stuck",185
"wind",185
"wins",185
"claim",184
"golden",184
"heading",184
"movement",184
"authorities",183
"bottle",183
"celebrate",183
"complex",183
"obviously",183
"reached",183
"yards",183
"british",182
"cast",182
"changing",182
"teaching",182
"ticket",182
"administration",181
"camp",181
"congress",181
"dm",181
"gotten",181
"journey",181
"tiny",181
"yay",181
"arrested",180
"attempt",180
"continued",180
"enter",180
"highly",180
"matt",180
"obvious",180
"options",180
"physical",180
"rule",180
"actual",179
"cat",179
"easter",179
"episode",179
"explain",179
"f",179
"fly",179
"martin",179
"unique",179
"werent",179
"dropped",178
"fighting",178
"jack",178
"mountain",178
"owners",178
"prepared",178
"treat",178
"yard",178
"apart",177
"becoming",177
"chinese",177
"da",177
"gorgeous",177
"grew",177
"heavy",177
"knowing",177
"measure",177
"military",177
"pool",177
"remains",177
"speed",177
"districts",176
"famous",176
"hang",176
"improve",176
"milk",176
"ny",176
"teach",176
"camera",175
"championship",175
"charles",175
"ends",175
"literally",175
"october",175
"schedule",175
"scott",175
"stadium",175
"strength",175
"vegas",175
"brothers",174
"debt",174
"decisions",174
"democrats",174
"dry",174
"revenue",174
"rise",174
"acting",173
"appeared",173
"denver",173
"everyday",173
"farm",173
"multiple",173
"neither",173
"possibly",173
"setting",173
"television",173
"bob",172
"china",172
"discussion",172
"host",172
"images",172
"kinda",172
"ourselves",172
"primary",172
"promise",172
"protect",172
"trees",172
"appear",171
"candidate",171
"ff",171
"meat",171
"mobile",171
"nations",171
"pages",171
"remove",171
"republicans",171
"resources",171
"seasons",171
"surgery",171
"airport",170
"blessed",170
"bored",170
"bright",170
"covered",170
"debate",170
"fund",170
"kick",170
"majority",170
"miller",170
"offering",170
"posts",170
"seeking",170
"standard",170
"unfortunately",170
"citys",169
"eggs",169
"extremely",169
"female",169
"handle",169
"laws",169
"santa",169
"advantage",168
"bunch",168
"doctors",168
"forgot",168
"leadership",168
"levels",168
"murder",168
"readers",168
"shirt",168
"soft",168
"somebody",168
"talent",168
"attend",167
"global",167
"greater",167
"guilty",167
"jump",167
"kansas",167
"menu",167
"criminal",166
"discovered",166
"environment",166
"hanging",166
"jackson",166
"prison",166
"random",166
"streets",166
"agent",165
"bills",165
"capital",165
"civil",165
"coast",165
"feed",165
"funds",165
"laugh",165
"magazine",165
"mary",165
"missouri",165
"option",165
"signs",165
"southern",165
"birth",164
"breaking",164
"compared",164
"concerned",164
"expensive",164
"faces",164
"gods",164
"michigan",164
"plants",164
"rep",164
"rip",164
"steps",164
"usual",164
"western",164
"considering",163
"continues",163
"fix",163
"meal",163
"otherwise",163
"visiting",163
"democratic",162
"everywhere",162
"films",162
"meaning",162
"ring",162
"uk",162
"wood",162
"adult",161
"afraid",161
"appears",161
"brian",161
"bridge",161
"co",161
"contest",161
"demand",161
"governor",161
"material",161
"vehicle",161
"dish",160
"draw",160
"lights",160
"request",160
"september",160
"sky",160
"talks",160
"anywhere",159
"basically",159
"bringing",159
"customer",159
"em",159
"fruit",159
"gov",159
"grade",159
"independent",159
"joined",159
"loud",159
"millions",159
"panel",159
"salad",159
"seattle",159
"shout",159
"theme",159
"treatment",159
"agreement",158
"candidates",158
"directly",158
"falling",158
"housing",158
"mentioned",158
"mess",158
"pic",158
"related",158
"restaurants",158
"rice",158
"scheduled",158
"shape",158
"tho",158
"army",157
"emergency",157
"features",157
"lee",157
