"word","freq"
"i remember",164
"it had",164
"one in",164
"plan to",164
"the internet",164
"to become",164
"was that",164
"and no",163
"and on",163
"and see",163
"but when",163
"didnt know",163
"something that",163
"than i",163
"the film",163
"the group",163
"figure out",162
"just the",162
"keep the",162
"members of",162
"the weekend",162
"too many",162
"we get",162
"you go",162
"a beautiful",161
"a real",161
"and thats",161
"at work",161
"i might",161
"in addition",161
"on how",161
"something to",161
"use of",161
"were in",161
"be more",160
"coming to",160
"here and",160
"i took",160
"it does",160
"the problem",160
"are some",159
"down and",159
"hope to",159
"how it",159
"likely to",159
"of which",159
"see a",159
"there will",159
"they want",159
"to build",159
"welcome to",159
"you i",159
"a book",158
"at that",158
"i wanna",158
"it takes",158
"lets go",158
"love that",158
"my husband",158
"care of",157
"come out",157
"not that",157
"over and",157
"pick up",157
"the air",157
"us and",157
"version of",157
"with no",157
"year old",157
"you love",157
"and do",156
"department of",156
"few days",156
"for following",156
"i decided",156
"i go",156
"i say",156
"the beginning",156
"the money",156
"thousands of",156
"years of",156
"a group",155
"a major",155
"a statement",155
"be sure",155
"day in",155
"for one",155
"get my",155
"have had",155
"known as",155
"my way",155
"out that",155
"rt i",155
"thats not",155
"the movie",155
"the st",155
"a free",154
"from to",154
"life and",154
"now and",154
"on saturday",154
"on top",154
"to spend",154
"give you",153
"go out",153
"have it",153
"him in",153
"how are",153
"is at",153
"million in",153
"place in",153
"the law",153
"these days",153
"to ask",153
"which has",153
"a million",152
"and said",152
"i look",152
"if its",152
"is for",152
"no idea",152
"the water",152
"will never",152
"with our",152
"you had",152
"a special",151
"an amazing",151
"any other",151
"behind the",151
"making a",151
"my dad",151
"now the",151
"on and",151
"put the",151
"the citys",151
"the moment",151
"through a",151
"was no",151
"get in",150
"i find",150
"its like",150
"much for",150
"my best",150
"of god",150
"on an",150
"plans to",150
"the place",150
"access to",149
"even the",149
"go on",149
"last month",149
"many people",149
"nice to",149
"right to",149
"the bill",149
"the white",149
"these are",149
"two of",149
"watch the",149
"a person",148
"but for",148
"but there",148
"focus on",148
"friends and",148
"in other",148
"member of",148
"thats why",148
"the board",148
"the news",148
"thought it",148
"you feel",148
"a more",147
"a place",147
"set up",147
"the work",147
"though i",147
"to avoid",147
"a car",146
"after all",146
"get some",146
"in any",146
"no more",146
"to call",146
"while i",146
"been in",145
"come on",145
"had no",145
"me too",145
"so good",145
"the current",145
"to add",145
"years and",145
"youre not",145
"and of",144
"get out",144
"im still",144
"is being",144
"love and",144
"near the",144
"read the",144
"say the",144
"the original",144
"trip to",144
"was also",144
"be so",143
"during a",143
"find the",143
"it really",143
"lol i",143
"the job",143
"the little",143
"the project",143
"they could",143
"want a",143
"a guy",142
"is really",142
"it also",142
"me for",142
"put it",142
