"word","freq"
"boyfriend",150
"congratulations",150
"driver",150
"egg",150
"impossible",150
"jr",150
"ordered",150
"partner",150
"smell",150
"ad",149
"correct",149
"earned",149
"honest",149
"smaller",149
"therefore",149
"ugly",149
"visiting",149
"ending",148
"entertainment",148
"gorgeous",148
"guest",148
"increased",148
"investment",148
"leadership",148
"peoples",148
"pray",148
"trail",148
"vision",148
"adults",147
"aside",147
"considering",147
"da",147
"illinois",147
"machine",147
"matters",147
"pleasure",147
"restaurants",147
"shape",147
"sucks",147
"tips",147
"vice",147
"violence",147
"apart",146
"bills",146
"carolina",146
"colors",146
"edge",146
"foods",146
"funds",146
"italian",146
"leads",146
"loud",146
"mental",146
"pic",146
"tend",146
"truck",146
"van",146
"filed",145
"hungry",145
"independent",145
"mail",145
"solution",145
"staying",145
"steps",145
"usa",145
"vehicle",145
"wood",145
"candidate",144
"chose",144
"click",144
"committed",144
"jeff",144
"lay",144
"meetings",144
"obvious",144
"remove",144
"atlanta",143
"childrens",143
"colorado",143
"comfortable",143
"dish",143
"doors",143
"giant",143
"lee",143
"mexico",143
"millions",143
"multiple",143
"oven",143
"progress",143
"richard",143
"seeking",143
"sending",143
"sky",143
"tip",143
"victims",143
"windows",143
"yellow",143
"actions",142
"attend",142
"ceo",142
"chapter",142
"directly",142
"drove",142
"feed",142
"fox",142
"joke",142
"meanwhile",142
"pan",142
"prize",142
"quote",142
"sexy",142
"slowly",142
"thus",142
"tweeting",142
"unit",142
"ages",141
"aware",141
"boss",141
"buildings",141
"challenges",141
"cheap",141
"feb",141
"gain",141
"giants",141
"ingredients",141
"pitch",141
"route",141
"santa",141
"sets",141
"tie",141
"visitors",141
"agents",140
"bags",140
"critical",140
"decade",140
"england",140
"feelings",140
"foreign",140
"letting",140
"located",140
"material",140
"meaning",140
"plate",140
"prevent",140
"proposal",140
"responsible",140
"ring",140
"saved",140
"sleeping",140
"strange",140
"yours",140
"advance",139
"behavior",139
"era",139
"fingers",139
"fruit",139
"harder",139
"illegal",139
"legs",139
"pants",139
"professor",139
"prosecutors",139
"religious",139
"sing",139
"stone",139
"yep",139
"alcohol",138
"arm",138
"cookies",138
"disease",138
"grace",138
"inspiration",138
"lies",138
"male",138
"net",138
"rare",138
"theater",138
"uses",138
"active",137
"adventure",137
"apply",137
"blame",137
"chat",137
"clients",137
"discuss",137
"em",137
"emotional",137
"facility",137
"fail",137
"frank",137
"injuries",137
"kevin",137
"legislation",137
"print",137
"region",137
"walls",137
"birds",136
"dancing",136
"fix",136
"horse",136
"immigration",136
"negative",136
"strategy",136
"t",136
"thankful",136
"workout",136
"worried",136
"alex",135
"blazers",135
"browns",135
"buddy",135
"caused",135
"dangerous",135
"determined",135
"emergency",135
"falling",135
"heights",135
"ipad",135
"jazz",135
"massive",135
"memorial",135
"nick",135
"plastic",135
"providing",135
"remaining",135
"abuse",134
"anywhere",134
"bear",134
"believed",134
"dallas",134
"deserve",134
"eggs",134
"falls",134
"kansas",134
"michigan",134
"prove",134
"scared",134
"sexual",134
"videos",134
"womens",134
"cats",133
"cell",133
"christie",133
"citizens",133
"coverage",133
"fake",133
"focused",133
"grab",133
"guide",133
"heaven",133
"houses",133
"operations",133
"passing",133
"pro",133
"regional",133
